Order ID,Order Date,Customer ID,Category,Sales,Quantity,Profit,Discount
CA-2016-137330,2016-12-09,KB-16585,Office Supplies,60.34,7,15.6884,0.0
US-2017-156909,2017-07-16,SF-20065,Furniture,71.372,2,-1.0196,0.3
CA-2015-106320,2015-09-25,EB-13870,Furniture,1044.63,3,240.2649,0.0
CA-2016-121755,2016-01-16,EH-13945,Office Supplies,11.648,2,4.2224,0.2
CA-2016-121755,2016-01-16,EH-13945,Technology,90.57,3,11.7741,0.0
US-2015-150630,2015-09-17,TB-21520,Furniture,3083.43,7,-1665.0522,0.5
US-2015-150630,2015-09-17,TB-21520,Office Supplies,9.618,2,-7.0532,0.7
US-2015-150630,2015-09-17,TB-21520,Furniture,124.2,3,15.525,0.2
US-2015-150630,2015-09-17,TB-21520,Office Supplies,3.264,2,1.1016,0.2
US-2015-150630,2015-09-17,TB-21520,Office Supplies,86.304,6,9.7092,0.2
US-2015-150630,2015-09-17,TB-21520,Office Supplies,6.858,6,-5.715,0.7
US-2015-150630,2015-09-17,TB-21520,Office Supplies,15.76,2,3.546,0.2
CA-2017-107727,2017-10-19,MA-17560,Office Supplies,29.472,3,9.9468,0.2
CA-2016-117590,2016-12-08,GH-14485,Technology,1097.544,7,123.4737,0.2
CA-2016-117590,2016-12-08,GH-14485,Furniture,190.92,5,-147.963,0.6
CA-2015-117415,2015-12-27,SN-20710,Office Supplies,113.328,9,35.415,0.2
CA-2015-117415,2015-12-27,SN-20710,Furniture,532.3992,3,-46.9764,0.32
CA-2015-117415,2015-12-27,SN-20710,Furniture,212.058,3,-15.147,0.3
CA-2015-117415,2015-12-27,SN-20710,Technology,371.168,4,41.7564,0.2
CA-2017-120999,2017-09-10,LC-16930,Technology,147.168,4,16.5564,0.2
CA-2016-101343,2016-07-17,RA-19885,Office Supplies,77.88,2,3.894,0.0
CA-2017-139619,2017-09-19,ES-14080,Office Supplies,95.616,2,9.5616,0.2
CA-2016-118255,2016-03-11,ON-18715,Technology,45.98,2,19.7714,0.0
CA-2016-118255,2016-03-11,ON-18715,Office Supplies,17.46,2,8.2062,0.0
CA-2014-146703,2014-10-20,PO-18865,Office Supplies,211.96,4,8.4784,0.0
CA-2016-169194,2016-06-20,LH-16900,Technology,45.0,3,4.95,0.0
CA-2016-169194,2016-06-20,LH-16900,Technology,21.8,2,6.104,0.0
CA-2015-115742,2015-04-18,DP-13000,Office Supplies,38.22,6,17.9634,0.0
CA-2015-115742,2015-04-18,DP-13000,Office Supplies,75.18,6,35.3346,0.0
CA-2015-115742,2015-04-18,DP-13000,Furniture,6.16,2,2.9568,0.0
CA-2015-115742,2015-04-18,DP-13000,Furniture,89.99,1,17.0981,0.0
CA-2016-105816,2016-12-11,JM-15265,Office Supplies,15.26,7,6.2566,0.0
CA-2016-105816,2016-12-11,JM-15265,Technology,1029.95,5,298.6855,0.0
CA-2016-111682,2016-06-17,TB-21055,Office Supplies,208.56,6,52.14,0.0
CA-2016-111682,2016-06-17,TB-21055,Office Supplies,32.4,5,15.552,0.0
CA-2016-111682,2016-06-17,TB-21055,Furniture,319.41,5,7.098,0.1
CA-2016-111682,2016-06-17,TB-21055,Office Supplies,14.56,2,6.9888,0.0
CA-2016-111682,2016-06-17,TB-21055,Technology,30.0,2,3.3,0.0
CA-2016-111682,2016-06-17,TB-21055,Office Supplies,48.48,4,16.362,0.2
CA-2016-111682,2016-06-17,TB-21055,Office Supplies,1.68,1,0.84,0.0
CA-2015-135545,2015-11-24,KM-16720,Technology,13.98,2,6.1512,0.0
CA-2015-135545,2015-11-24,KM-16720,Office Supplies,25.824,6,9.3612,0.2
CA-2015-135545,2015-11-24,KM-16720,Office Supplies,146.73,3,68.9631,0.0
CA-2015-135545,2015-11-24,KM-16720,Furniture,79.76,4,22.3328,0.0
US-2015-164175,2015-04-30,PS-18970,Furniture,213.115,5,-15.2225,0.3
CA-2014-106376,2014-12-05,BS-11590,Office Supplies,1113.024,8,111.3024,0.2
CA-2014-106376,2014-12-05,BS-11590,Technology,167.968,4,62.988,0.2
CA-2016-119823,2016-06-04,KD-16270,Office Supplies,75.88,2,35.6636,0.0
CA-2016-106075,2016-09-18,HM-14980,Office Supplies,4.616,1,1.731,0.2
CA-2017-114440,2017-09-14,TB-21520,Office Supplies,19.05,3,8.763,0.0
US-2015-134026,2015-04-26,JE-15745,Furniture,831.936,8,-114.3912,0.2
US-2015-134026,2015-04-26,JE-15745,Furniture,97.04,2,1.213,0.2
US-2015-134026,2015-04-26,JE-15745,Office Supplies,72.784,1,-18.196,0.2
US-2017-118038,2017-12-09,KB-16600,Office Supplies,1.248,3,-1.9344,0.8
US-2017-118038,2017-12-09,KB-16600,Furniture,9.708,3,-5.8248,0.6
US-2017-118038,2017-12-09,KB-16600,Office Supplies,27.24,3,2.724,0.2
US-2014-147606,2014-11-26,JE-15745,Furniture,19.3,5,-14.475,0.6
CA-2016-127208,2016-06-12,SC-20770,Office Supplies,208.16,1,56.2032,0.0
CA-2016-127208,2016-06-12,SC-20770,Office Supplies,16.74,3,8.0352,0.0
CA-2014-139451,2014-10-12,DN-13690,Office Supplies,14.9,5,4.172,0.0
CA-2014-139451,2014-10-12,DN-13690,Office Supplies,21.39,1,6.2031,0.0
CA-2015-149734,2015-09-03,JC-16105,Office Supplies,200.984,7,62.8075,0.2
US-2017-119662,2017-11-13,CS-12400,Office Supplies,230.376,3,-48.9549,0.2
CA-2017-140088,2017-05-28,PO-18865,Furniture,301.96,2,33.2156,0.0
CA-2017-155558,2017-10-26,PG-18895,Technology,19.99,1,6.7966,0.0
CA-2017-155558,2017-10-26,PG-18895,Office Supplies,6.16,2,2.9568,0.0
CA-2016-159695,2016-04-05,GM-14455,Office Supplies,158.368,7,13.8572,0.2
CA-2016-109806,2016-09-17,JS-15685,Office Supplies,20.1,3,6.633,0.0
CA-2016-109806,2016-09-17,JS-15685,Technology,73.584,2,8.2782,0.2
CA-2016-109806,2016-09-17,JS-15685,Office Supplies,6.48,1,3.1104,0.0
CA-2015-149587,2015-01-31,KB-16315,Office Supplies,12.96,2,6.2208,0.0
CA-2015-149587,2015-01-31,KB-16315,Furniture,53.34,3,16.5354,0.0
CA-2015-149587,2015-01-31,KB-16315,Office Supplies,32.96,2,16.1504,0.0
US-2017-109484,2017-11-06,RB-19705,Office Supplies,5.682,1,-3.788,0.7
CA-2017-161018,2017-11-09,PN-18775,Furniture,96.53,7,40.5426,0.0
CA-2017-157833,2017-06-17,KD-16345,Office Supplies,51.312,3,17.9592,0.2
CA-2016-149223,2016-09-06,ER-13855,Office Supplies,77.88,6,22.5852,0.0
CA-2016-158568,2016-08-29,RB-19465,Office Supplies,64.624,7,22.6184,0.2
CA-2016-158568,2016-08-29,RB-19465,Technology,95.976,3,-10.7973,0.2
CA-2016-158568,2016-08-29,RB-19465,Office Supplies,1.788,3,-3.0396,0.8
CA-2016-129903,2016-12-01,GZ-14470,Office Supplies,23.92,4,11.7208,0.0
US-2015-156867,2015-11-13,LC-16870,Technology,238.896,6,-26.8758,0.2
US-2015-156867,2015-11-13,LC-16870,Furniture,102.36,3,-3.8385,0.2
US-2015-156867,2015-11-13,LC-16870,Office Supplies,36.882,3,-25.8174,0.7
CA-2017-119004,2017-11-23,JM-15250,Technology,74.112,8,17.6016,0.2
CA-2017-119004,2017-11-23,JM-15250,Technology,27.992,1,2.0994,0.2
CA-2017-119004,2017-11-23,JM-15250,Office Supplies,3.304,1,1.0738,0.2
CA-2015-129476,2015-10-15,PA-19060,Technology,339.96,5,67.992,0.2
CA-2017-146780,2017-12-25,CV-12805,Furniture,41.96,2,10.9096,0.0
CA-2016-128867,2016-11-03,CL-12565,Office Supplies,75.96,2,22.788,0.0
CA-2016-128867,2016-11-03,CL-12565,Office Supplies,27.24,6,13.3476,0.0
CA-2014-115259,2014-08-25,RC-19960,Office Supplies,40.096,14,14.5348,0.2
CA-2014-115259,2014-08-25,RC-19960,Office Supplies,4.72,2,1.652,0.2
CA-2014-115259,2014-08-25,RC-19960,Office Supplies,23.976,3,7.4925,0.2
CA-2014-115259,2014-08-25,RC-19960,Office Supplies,130.464,6,44.0316,0.2
CA-2015-110457,2015-03-02,DK-13090,Furniture,787.53,3,165.3813,0.0
US-2015-136476,2015-04-05,GG-14650,Office Supplies,157.794,1,-115.7156,0.7
CA-2016-103730,2016-06-12,SC-20725,Furniture,47.04,3,18.3456,0.0
CA-2016-103730,2016-06-12,SC-20725,Office Supplies,30.84,4,13.878,0.0
CA-2016-103730,2016-06-12,SC-20725,Office Supplies,226.56,6,63.4368,0.0
CA-2016-103730,2016-06-12,SC-20725,Office Supplies,115.02,9,51.759,0.0
CA-2016-103730,2016-06-12,SC-20725,Technology,68.04,7,19.7316,0.0
US-2014-152030,2014-12-26,AD-10180,Furniture,600.558,3,-8.5794,0.3
US-2014-134614,2014-09-20,PF-19165,Furniture,617.7,6,-407.682,0.5
US-2017-107272,2017-11-05,TS-21610,Office Supplies,2.388,2,-1.8308,0.7
US-2017-107272,2017-11-05,TS-21610,Office Supplies,243.992,7,30.499,0.2
US-2016-125969,2016-11-06,LS-16975,Furniture,81.424,2,-9.1602,0.2
US-2016-125969,2016-11-06,LS-16975,Furniture,238.56,3,26.2416,0.0
US-2017-164147,2017-02-02,DW-13585,Technology,59.97,5,-11.994,0.4
US-2017-164147,2017-02-02,DW-13585,Office Supplies,78.304,2,29.364,0.2
US-2017-164147,2017-02-02,DW-13585,Office Supplies,21.456,9,6.9732,0.2
CA-2016-145583,2016-10-13,LC-16885,Office Supplies,20.04,3,9.6192,0.0
CA-2016-145583,2016-10-13,LC-16885,Office Supplies,35.44,1,16.6568,0.0
CA-2016-145583,2016-10-13,LC-16885,Office Supplies,11.52,4,3.456,0.0
CA-2016-145583,2016-10-13,LC-16885,Office Supplies,4.02,2,1.9698,0.0
CA-2016-145583,2016-10-13,LC-16885,Office Supplies,76.176,3,26.6616,0.2
CA-2016-145583,2016-10-13,LC-16885,Office Supplies,65.88,6,18.4464,0.0
CA-2016-145583,2016-10-13,LC-16885,Furniture,43.12,14,20.6976,0.0
CA-2016-110366,2016-09-05,JD-15895,Furniture,82.8,2,10.35,0.2
CA-2017-106180,2017-09-18,SH-19975,Office Supplies,8.82,3,2.3814,0.0
CA-2017-106180,2017-09-18,SH-19975,Office Supplies,10.86,3,5.1042,0.0
CA-2017-106180,2017-09-18,SH-19975,Office Supplies,143.7,3,68.976,0.0
CA-2017-155376,2017-12-22,SG-20080,Office Supplies,839.43,3,218.2518,0.0
CA-2015-110744,2015-09-07,HA-14920,Office Supplies,671.93,7,20.1579,0.0
CA-2014-110072,2014-10-22,MG-17680,Furniture,93.888,4,12.9096,0.2
CA-2016-114489,2016-12-05,JE-16165,Technology,384.45,11,103.8015,0.0
CA-2016-114489,2016-12-05,JE-16165,Technology,149.97,3,5.9988,0.0
CA-2016-114489,2016-12-05,JE-16165,Furniture,1951.84,8,585.552,0.0
CA-2016-114489,2016-12-05,JE-16165,Office Supplies,171.55,5,80.6285,0.0
CA-2016-158834,2016-03-13,TW-21025,Office Supplies,157.92,5,17.766,0.2
CA-2016-158834,2016-03-13,TW-21025,Technology,203.184,2,15.2388,0.2
CA-2015-124919,2015-05-31,SP-20650,Office Supplies,58.38,7,26.271,0.0
CA-2015-124919,2015-05-31,SP-20650,Office Supplies,105.52,4,48.5392,0.0
CA-2015-124919,2015-05-31,SP-20650,Office Supplies,80.88,6,21.0288,0.0
CA-2015-118948,2015-05-28,NK-18490,Office Supplies,6.63,3,1.7901,0.0
CA-2014-104269,2014-03-01,DB-13060,Furniture,457.568,2,51.4764,0.2
CA-2016-114104,2016-11-20,NP-18670,Office Supplies,14.62,2,6.8714,0.0
CA-2016-114104,2016-11-20,NP-18670,Technology,944.93,7,236.2325,0.0
CA-2016-162733,2016-05-11,TT-21070,Office Supplies,5.98,1,2.691,0.0
CA-2015-119697,2015-12-28,EM-13960,Technology,54.384,2,1.3596,0.2
CA-2016-154508,2016-11-16,RD-19900,Office Supplies,28.4,5,13.348,0.0
CA-2016-113817,2016-11-07,MJ-17740,Office Supplies,27.68,2,9.688,0.2
CA-2014-139892,2014-09-08,BM-11140,Office Supplies,9.936,3,2.7324,0.2
CA-2014-139892,2014-09-08,BM-11140,Technology,8159.952,8,-1359.992,0.4
CA-2014-139892,2014-09-08,BM-11140,Office Supplies,275.928,3,-58.6347,0.2
CA-2014-139892,2014-09-08,BM-11140,Furniture,1740.06,9,-24.858,0.3
CA-2014-139892,2014-09-08,BM-11140,Office Supplies,32.064,6,6.8136,0.2
CA-2014-139892,2014-09-08,BM-11140,Office Supplies,177.98,5,-453.849,0.8
CA-2014-139892,2014-09-08,BM-11140,Technology,143.976,3,8.9985,0.2
CA-2014-118962,2014-08-05,CS-12130,Office Supplies,20.94,3,9.8418,0.0
CA-2014-118962,2014-08-05,CS-12130,Office Supplies,110.96,2,53.2608,0.0
CA-2014-118962,2014-08-05,CS-12130,Furniture,340.144,7,21.259,0.2
US-2014-100853,2014-09-14,JB-15400,Office Supplies,52.448,2,-131.12,0.8
US-2014-100853,2014-09-14,JB-15400,Office Supplies,20.16,4,6.552,0.2
US-2017-152366,2017-04-21,SJ-20500,Office Supplies,97.264,4,-243.16,0.8
US-2015-101511,2015-11-21,JE-15745,Furniture,396.802,7,-11.3372,0.3
US-2015-101511,2015-11-21,JE-15745,Office Supplies,15.88,5,-3.7715,0.2
CA-2015-137225,2015-12-15,JK-15640,Office Supplies,3.28,1,1.4104,0.0
CA-2014-166191,2014-12-05,DK-13150,Office Supplies,24.816,2,1.8612,0.2
CA-2014-166191,2014-12-05,DK-13150,Technology,408.744,7,76.6395,0.2
CA-2014-158274,2014-11-19,RM-19675,Technology,503.96,4,131.0296,0.0
CA-2014-158274,2014-11-19,RM-19675,Technology,149.95,5,41.986,0.0
CA-2014-158274,2014-11-19,RM-19675,Technology,29.0,2,7.25,0.0
CA-2016-105018,2016-11-28,SK-19990,Office Supplies,7.16,2,3.4368,0.0
CA-2014-123260,2014-08-26,FM-14290,Technology,176.8,8,22.984,0.0
CA-2016-157000,2016-07-16,AM-10360,Office Supplies,37.224,3,3.7224,0.2
CA-2016-157000,2016-07-16,AM-10360,Office Supplies,20.016,3,6.255,0.2
CA-2015-102281,2015-10-12,MP-17470,Furniture,899.136,4,112.392,0.2
CA-2015-102281,2015-10-12,MP-17470,Technology,71.76,6,20.0928,0.0
CA-2015-102281,2015-10-12,MP-17470,Office Supplies,51.84,8,24.8832,0.0
CA-2015-102281,2015-10-12,MP-17470,Furniture,626.352,3,46.9764,0.2
CA-2015-102281,2015-10-12,MP-17470,Office Supplies,19.9,5,6.567,0.0
CA-2015-131457,2015-10-31,MZ-17515,Office Supplies,14.28,7,6.7116,0.0
CA-2014-140004,2014-03-21,CB-12025,Office Supplies,7.408,2,1.2038,0.2
CA-2014-140004,2014-03-21,CB-12025,Office Supplies,6.048,3,1.5876,0.2
CA-2017-107720,2017-11-06,VM-21685,Office Supplies,46.26,3,12.0276,0.0
US-2017-124303,2017-07-06,FH-14365,Office Supplies,2.946,2,-2.2586,0.7
US-2017-124303,2017-07-06,FH-14365,Office Supplies,16.056,3,5.8203,0.2
CA-2017-105074,2017-06-24,MB-17305,Office Supplies,21.744,3,6.795,0.2
CA-2014-133690,2014-08-03,BS-11755,Furniture,218.75,2,-161.875,0.5
CA-2014-133690,2014-08-03,BS-11755,Office Supplies,2.6,1,0.2925,0.2
US-2017-116701,2017-12-17,LC-17140,Office Supplies,66.284,2,-178.9668,0.8
CA-2017-126382,2017-06-03,HK-14890,Furniture,35.168,7,9.6712,0.2
CA-2017-108329,2017-12-09,LE-16810,Technology,444.768,4,44.4768,0.2
CA-2017-135860,2017-12-01,JH-15985,Office Supplies,83.92,4,5.8744,0.0
CA-2017-135860,2017-12-01,JH-15985,Technology,131.98,2,35.6346,0.0
CA-2017-135860,2017-12-01,JH-15985,Office Supplies,15.92,4,7.4824,0.0
CA-2017-135860,2017-12-01,JH-15985,Office Supplies,52.29,9,16.2099,0.0
CA-2017-135860,2017-12-01,JH-15985,Office Supplies,91.99,1,3.6796,0.0
CA-2015-101007,2015-02-09,MS-17980,Technology,20.8,2,6.5,0.2
CA-2015-146262,2015-01-02,VW-21775,Office Supplies,23.68,2,8.88,0.2
CA-2015-146262,2015-01-02,VW-21775,Furniture,452.45,5,-244.323,0.5
CA-2015-146262,2015-01-02,VW-21775,Technology,62.982,3,-14.6958,0.4
CA-2015-146262,2015-01-02,VW-21775,Technology,1188.0,9,-950.4,0.7
CA-2015-146262,2015-01-02,VW-21775,Technology,89.584,2,4.4792,0.2
CA-2016-130162,2016-10-28,JH-15910,Office Supplies,93.06,6,26.0568,0.0
CA-2016-130162,2016-10-28,JH-15910,Technology,302.376,3,22.6782,0.2
CA-2015-169397,2015-12-24,JB-15925,Office Supplies,5.584,2,1.8148,0.2
CA-2015-169397,2015-12-24,JB-15925,Office Supplies,22.704,6,8.2302,0.2
CA-2015-169397,2015-12-24,JB-15925,Office Supplies,19.776,4,-13.8432,0.7
CA-2015-169397,2015-12-24,JB-15925,Furniture,72.704,4,19.0848,0.2
CA-2015-169397,2015-12-24,JB-15925,Technology,479.988,4,-383.9904,0.7
CA-2015-169397,2015-12-24,JB-15925,Office Supplies,27.168,2,2.7168,0.2
CA-2015-163055,2015-08-09,DS-13180,Office Supplies,2.2,1,0.968,0.0
CA-2015-163055,2015-08-09,DS-13180,Furniture,622.45,5,136.939,0.0
CA-2015-163055,2015-08-09,DS-13180,Office Supplies,21.98,1,0.2198,0.0
US-2015-145436,2015-02-28,VD-21670,Furniture,161.568,2,-28.2744,0.2
US-2015-145436,2015-02-28,VD-21670,Furniture,389.696,8,43.8408,0.2
US-2014-156216,2014-09-13,EA-14035,Office Supplies,18.648,7,-12.432,0.7
US-2017-100930,2017-04-07,CS-12400,Furniture,233.86,2,-102.048,0.45
US-2017-100930,2017-04-07,CS-12400,Furniture,620.6145,3,-248.2458,0.45
US-2017-100930,2017-04-07,CS-12400,Office Supplies,5.328,2,-3.552,0.7
US-2017-100930,2017-04-07,CS-12400,Furniture,258.072,3,0.0,0.2
US-2017-100930,2017-04-07,CS-12400,Technology,617.976,3,-7.7247,0.2
CA-2017-160514,2017-11-12,DB-13120,Office Supplies,10.56,2,4.752,0.0
CA-2016-157749,2016-06-04,KL-16645,Office Supplies,25.92,5,9.396,0.2
CA-2016-157749,2016-06-04,KL-16645,Furniture,419.68,5,-356.728,0.6
CA-2016-157749,2016-06-04,KL-16645,Furniture,11.688,3,-4.6752,0.6
CA-2016-157749,2016-06-04,KL-16645,Technology,31.984,2,11.1944,0.2
CA-2016-157749,2016-06-04,KL-16645,Furniture,177.225,5,-120.513,0.5
CA-2016-157749,2016-06-04,KL-16645,Furniture,4.044,3,-2.8308,0.6
CA-2016-157749,2016-06-04,KL-16645,Office Supplies,7.408,2,1.2038,0.2
CA-2014-131926,2014-06-01,DW-13480,Furniture,2001.86,7,580.5394,0.0
CA-2014-131926,2014-06-01,DW-13480,Office Supplies,166.72,2,41.68,0.0
CA-2014-131926,2014-06-01,DW-13480,Office Supplies,47.88,6,23.94,0.0
CA-2014-131926,2014-06-01,DW-13480,Office Supplies,1503.25,5,496.0725,0.0
CA-2014-131926,2014-06-01,DW-13480,Office Supplies,25.92,4,12.4416,0.0
CA-2016-154739,2016-12-10,LH-17155,Furniture,321.568,2,28.1372,0.2
CA-2016-145625,2016-09-11,KC-16540,Office Supplies,7.61,1,3.5767,0.0
CA-2016-145625,2016-09-11,KC-16540,Technology,3347.37,13,636.0003,0.0
CA-2016-146941,2016-12-10,DL-13315,Office Supplies,80.58,6,22.5624,0.0
CA-2016-146941,2016-12-10,DL-13315,Office Supplies,361.92,4,162.864,0.0
US-2015-159982,2015-11-28,DR-12880,Furniture,12.132,9,-8.4924,0.6
US-2015-159982,2015-11-28,DR-12880,Office Supplies,82.368,2,-19.5624,0.2
US-2015-159982,2015-11-28,DR-12880,Office Supplies,53.92,5,4.044,0.2
US-2015-159982,2015-11-28,DR-12880,Technology,647.904,6,56.6916,0.2
CA-2017-163139,2017-12-01,CC-12670,Technology,20.37,3,6.9258,0.0
CA-2017-163139,2017-12-01,CC-12670,Office Supplies,221.55,3,6.6465,0.0
CA-2017-163139,2017-12-01,CC-12670,Office Supplies,17.52,5,6.132,0.2
US-2017-155299,2017-06-08,Dl-13600,Office Supplies,1.624,2,-4.466,0.8
US-2014-106992,2014-09-19,SB-20290,Technology,3059.982,3,-509.997,0.4
US-2014-106992,2014-09-19,SB-20290,Technology,2519.958,7,-251.9958,0.4
CA-2016-125318,2016-06-06,RC-19825,Technology,328.224,4,28.7196,0.2
CA-2015-155040,2015-11-10,AH-10210,Technology,79.9,2,35.156,0.0
CA-2017-136826,2017-06-16,CB-12535,Office Supplies,14.016,3,4.7304,0.2
CA-2016-111010,2016-01-22,PG-18895,Office Supplies,7.56,6,0.3024,0.0
US-2017-145366,2017-12-09,CA-12310,Office Supplies,37.208,1,-7.4416,0.2
US-2017-145366,2017-12-09,CA-12310,Office Supplies,57.576,3,21.591,0.2
CA-2017-163979,2017-12-28,KH-16690,Office Supplies,725.84,4,210.4936,0.0
CA-2015-155334,2015-07-30,HA-14920,Technology,209.93,7,92.3692,0.0
CA-2015-155334,2015-07-30,HA-14920,Furniture,5.28,3,2.3232,0.0
CA-2015-155334,2015-07-30,HA-14920,Office Supplies,10.92,3,4.095,0.2
CA-2017-118136,2017-09-16,BB-10990,Office Supplies,8.82,2,4.0572,0.0
CA-2017-118136,2017-09-16,BB-10990,Office Supplies,5.98,1,1.5548,0.0
CA-2017-132976,2017-10-13,AG-10495,Office Supplies,11.648,2,4.0768,0.2
CA-2017-132976,2017-10-13,AG-10495,Office Supplies,18.176,4,5.9072,0.2
CA-2017-132976,2017-10-13,AG-10495,Office Supplies,59.712,6,5.9712,0.2
CA-2017-132976,2017-10-13,AG-10495,Office Supplies,24.84,3,8.694,0.2
US-2015-161991,2015-09-26,SC-20725,Office Supplies,2.08,5,-3.432,0.8
US-2015-161991,2015-09-26,SC-20725,Technology,1114.4,7,376.11,0.2
CA-2015-130890,2015-11-02,JO-15280,Furniture,1038.84,5,51.942,0.2
CA-2015-130883,2015-09-26,TB-21520,Office Supplies,141.76,5,47.844,0.2
CA-2015-130883,2015-09-26,TB-21520,Technology,239.8,5,47.96,0.2
CA-2015-130883,2015-09-26,TB-21520,Office Supplies,31.104,6,10.8864,0.2
CA-2016-112697,2016-12-18,AH-10195,Office Supplies,254.058,7,-169.372,0.7
CA-2016-112697,2016-12-18,AH-10195,Office Supplies,194.528,2,24.316,0.2
CA-2016-112697,2016-12-18,AH-10195,Office Supplies,961.48,5,-204.3145,0.2
CA-2016-110772,2016-11-20,NZ-18565,Office Supplies,19.096,7,6.6836,0.2
CA-2016-110772,2016-11-20,NZ-18565,Office Supplies,18.496,8,6.2424,0.2
CA-2016-110772,2016-11-20,NZ-18565,Technology,255.984,2,54.3966,0.2
CA-2016-110772,2016-11-20,NZ-18565,Furniture,86.97,3,-48.7032,0.5
CA-2014-111451,2014-12-26,KL-16555,Furniture,300.416,8,78.8592,0.2
CA-2014-111451,2014-12-26,KL-16555,Furniture,230.352,3,20.1558,0.2
CA-2014-111451,2014-12-26,KL-16555,Furniture,218.352,3,-24.5646,0.2
CA-2014-111451,2014-12-26,KL-16555,Office Supplies,78.6,5,-62.88,0.7
CA-2014-111451,2014-12-26,KL-16555,Office Supplies,27.552,3,9.2988,0.2
CA-2016-142545,2016-10-28,JD-15895,Office Supplies,32.4,5,15.552,0.0
CA-2016-142545,2016-10-28,JD-15895,Office Supplies,1082.48,8,10.8248,0.0
CA-2016-142545,2016-10-28,JD-15895,Office Supplies,56.91,3,27.3168,0.0
CA-2016-142545,2016-10-28,JD-15895,Furniture,77.6,4,38.024,0.0
CA-2016-142545,2016-10-28,JD-15895,Office Supplies,14.28,1,6.5688,0.0
US-2017-152380,2017-11-19,JH-15910,Furniture,219.075,3,-131.445,0.5
CA-2015-144253,2015-05-04,AS-10225,Furniture,26.8,2,12.864,0.0
CA-2014-130960,2014-12-30,KB-16600,Office Supplies,9.84,3,2.8536,0.0
CA-2014-111003,2014-06-01,CR-12625,Office Supplies,45.48,3,20.9208,0.0
CA-2014-111003,2014-06-01,CR-12625,Office Supplies,289.2,6,83.868,0.0
CA-2017-126774,2017-04-15,SH-20395,Office Supplies,4.89,1,2.0049,0.0
CA-2016-142902,2016-09-12,BP-11185,Furniture,15.136,4,3.5948,0.2
CA-2016-142902,2016-09-12,BP-11185,Furniture,466.768,2,52.5114,0.2
CA-2016-142902,2016-09-12,BP-11185,Furniture,15.232,1,1.7136,0.2
CA-2016-142902,2016-09-12,BP-11185,Office Supplies,6.264,3,2.0358,0.2
CA-2014-120887,2014-09-27,TS-21205,Furniture,87.54,3,37.6422,0.0
CA-2014-167850,2014-08-09,AG-10525,Technology,178.384,2,22.298,0.2
CA-2014-167850,2014-08-09,AG-10525,Office Supplies,15.552,3,5.4432,0.2
CA-2014-164259,2014-12-28,SP-20860,Office Supplies,99.136,4,8.6744,0.2
CA-2014-164973,2014-11-04,NM-18445,Furniture,135.882,1,24.1568,0.1
CA-2014-164973,2014-11-04,NM-18445,Technology,3991.98,2,1995.99,0.0
CA-2014-164973,2014-11-04,NM-18445,Technology,275.94,6,80.0226,0.0
CA-2014-164973,2014-11-04,NM-18445,Technology,360.0,4,129.6,0.0
CA-2014-164973,2014-11-04,NM-18445,Office Supplies,43.57,1,13.071,0.0
CA-2014-156601,2014-09-19,FA-14230,Office Supplies,7.16,2,3.58,0.0
CA-2016-162138,2016-04-23,GK-14620,Office Supplies,251.52,6,81.744,0.2
CA-2016-162138,2016-04-23,GK-14620,Technology,99.99,1,34.9965,0.0
